Index,Potencia,Hour,Date,Month,Year,Day,Day (Spanish),Tecnología
2024-01-03 17:00:00,-106.06,17:00,2024-01-03,January,2024,Wednesday,Miércoles,Exportación
2024-01-03 18:00:00,-63.42,18:00,2024-01-03,January,2024,Wednesday,Miércoles,Exportación
2024-01-03 19:00:00,-81.51,19:00,2024-01-03,January,2024,Wednesday,Miércoles,Exportación
2024-01-03 20:00:00,-80.69,20:00,2024-01-03,January,2024,Wednesday,Miércoles,Exportación
2024-01-03 21:00:00,-114.96,21:00,2024-01-03,January,2024,Wednesday,Miércoles,Exportación
2024-01-03 22:00:00,-188.09,22:00,2024-01-03,January,2024,Wednesday,Miércoles,Exportación
2024-01-03 23:00:00,-112.59,23:00,2024-01-03,January,2024,Wednesday,Miércoles,Exportación
2024-01-04 00:00:00,-168.18,00:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 01:00:00,-177.94,01:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 02:00:00,-141.85,02:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 03:00:00,-164.87,03:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 04:00:00,-133.95,04:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 05:00:00,-89.05,05:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 06:00:00,-99.33,06:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 07:00:00,-95.84,07:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 08:00:00,-93.76,08:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 09:00:00,-61.04,09:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 10:00:00,-107.35,10:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 11:00:00,-116.67,11:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 12:00:00,-144.01,12:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 13:00:00,-134.73,13:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 14:00:00,-94.46,14:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 15:00:00,-91.71,15:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 16:00:00,-109.07,16:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 17:00:00,-104.63,17:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 18:00:00,-56.88,18:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 19:00:00,-53.58,19:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 20:00:00,-63.31,20:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 21:00:00,-61.72,21:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 22:00:00,-152.35,22:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-04 23:00:00,-183.13,23:00,2024-01-04,January,2024,Thursday,Jueves,Exportación
2024-01-05 00:00:00,-137.94,00:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 01:00:00,-134.17,01:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 02:00:00,-161.45,02:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 03:00:00,-139.84,03:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 04:00:00,-141.48,04:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 05:00:00,-74.1,05:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 06:00:00,-112.38,06:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 07:00:00,-77.62,07:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 08:00:00,-134.35,08:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 09:00:00,-11.58,09:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 10:00:00,-67.01,10:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 11:00:00,-55.61,11:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 12:00:00,-82.47,12:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 13:00:00,-30.55,13:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 14:00:00,-61.26,14:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 15:00:00,-72.14,15:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 16:00:00,-89.37,16:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 17:00:00,-69.8,17:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 18:00:00,-45.9,18:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 19:00:00,-43.91,19:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 20:00:00,-55.45,20:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 21:00:00,-144.57,21:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 22:00:00,-149.77,22:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-05 23:00:00,-218.79,23:00,2024-01-05,January,2024,Friday,Viernes,Exportación
2024-01-06 00:00:00,-260.63,00:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 01:00:00,-232.88,01:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 02:00:00,-243.14,02:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 03:00:00,-251.28,03:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 04:00:00,-257.72,04:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 05:00:00,-226.58,05:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 06:00:00,-101.85,06:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 07:00:00,-157.38,07:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 08:00:00,-166.71,08:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 09:00:00,-209.86,09:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 10:00:00,-209.06,10:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 11:00:00,-153.67,11:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 12:00:00,-126.58,12:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 13:00:00,-181.46,13:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 14:00:00,-163.75,14:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 15:00:00,-182.43,15:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 16:00:00,-188.48,16:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 17:00:00,-184.63,17:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 18:00:00,-128.86,18:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 19:00:00,-96.22,19:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 20:00:00,-123.28,20:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 21:00:00,-179.7,21:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
2024-01-06 22:00:00,-218.16,22:00,2024-01-06,January,2024,Saturday,Sábado,Exportación
